tair,rh,D_air,irradiance,apar,Cs,bm_c,bm_n,rCN,Vm25,LAI,Ac,An,Reco,NEE
16.7053,0.0,0.3995892368363392,0.0,457.54521,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.968715940716209,5.968715940716209
14.9654,0.0,0.35746101008622416,0.0,126.50574999999999,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,5.290597249042084,5.290597249042084
12.5048,0.0,0.3046458926757363,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,4.461010660120253,4.461010660120253
9.4912,0.0,0.2495228799687925,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,3.6200524382436505,3.6200524382436505
6.1299,0.0,0.19870875022985204,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.86767314376576,2.86767314376576
2.6501,0.0,0.15606219646245634,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,2.253083209991467,2.253083209991467
-0.7111,0.0,0.12285973851673834,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.7848224873304863,1.7848224873304863
-3.7248,0.0,0.09864112785972193,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.4483503188463325,1.4483503188463325
-6.1854,0.0,0.08215042186644525,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.2212432562565416,1.2212432562565416
-8.4187,0.0,0.09570061537865548,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0460998735859306,1.0460998735859306
-9.2808,0.0,0.08958870127362259,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.9854199574694483,0.9854199574694483
-9.2808,0.0,0.08958870127362259,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,0.9854199574694483,0.9854199574694483
-8.4187,0.0,0.09570061537865548,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.0460998735859306,1.0460998735859306
-6.7532,0.0,0.10858273881792523,0.0,0.0,400.0,0.0,0.0,20.0,38.43125,0.0,0.0,0.0,1.174112455849466,1.174112455849466
