tair,rh,D_air,rad,apar,LAI,Ac,Reco,NEE
-9.552,0.0,0.0,0.0,0.0,0.0,0.0,1.6146996523367426e8,1.6146996523367426e8
-7.276,0.0,0.0,0.0,0.0,0.0,0.0,1.8906284062521863e8,1.8906284062521863e8
-4.4885,0.0,0.0,0.0,0.0,0.0,0.0,2.2936032222431928e8,2.2936032222431928e8
-1.3794,0.0,0.0,0.0,0.0,0.0,0.0,2.845191653621608e8,2.845191653621608e8
1.8394,0.0,0.0,0.0,0.0,0.0,0.0,3.556371006895304e8,3.556371006895304e8
4.9485,0.0,0.0,0.0,0.0,0.0,0.0,4.411642348541971e8,4.411642348541971e8
7.736,0.0,0.0,0.0,0.0,0.0,0.0,5.35195444675375e8,5.35195444675375e8
10.012,0.0,0.0,0.0,0.0,0.0,0.0,6.266525846684312e8,6.266525846684312e8
11.6214,0.0,0.0,0.0,0.0,0.0,0.0,7.006072106862571e8,7.006072106862571e8
12.4545,0.0,0.0,0.0,0.0,0.0,0.0,7.422554784468653e8,7.422554784468653e8
12.4545,0.0,0.0,0.0,0.0,0.0,0.0,7.422554784468653e8,7.422554784468653e8
11.6214,0.0,0.0,0.0,0.0,0.0,0.0,7.006072106862571e8,7.006072106862571e8
10.0121,0.0,0.0,0.0,0.0,0.0,0.0,6.266569283082058e8,6.266569283082058e8
7.736,0.0,0.0,0.0,0.0,0.0,0.0,5.35195444675375e8,5.35195444675375e8
4.9485,0.0,0.0,0.0,0.0,0.0,0.0,4.411642348541971e8,4.411642348541971e8
1.8394,0.0,0.0,0.0,0.0,0.0,0.0,3.556371006895304e8,3.556371006895304e8
-1.3794,0.0,0.0,0.0,0.0,0.0,0.0,2.845191653621608e8,2.845191653621608e8
-4.4885,0.0,0.0,0.0,0.0,0.0,0.0,2.2936032222431928e8,2.2936032222431928e8
-7.276,0.0,0.0,0.0,0.0,0.0,0.0,1.8906284062521863e8,1.8906284062521863e8
-9.552,0.0,0.0,0.0,0.0,0.0,0.0,1.6146996523367426e8,1.6146996523367426e8
-11.8382,0.0,0.0,0.0,0.0,0.0,0.0,1.3780668133750272e8,1.3780668133750272e8
-12.8517,0.0,0.0,0.0,0.0,0.0,0.0,1.2845791955359608e8,1.2845791955359608e8
-12.8517,0.0,0.0,0.0,0.0,0.0,0.0,1.2845791955359608e8,1.2845791955359608e8
-11.8382,0.0,0.0,0.0,0.0,0.0,0.0,1.3780668133750272e8,1.3780668133750272e8
