Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
15500.0,6.948469864249744e-6,9.81749164897202e-5,2.795780234341177e-9,5.3505345055589045e-6,4.901974798391068e-7
15501.0,6.760696542916501e-6,9.850442629641427e-5,2.787702645053063e-9,5.285937652656317e-6,4.819089450005792e-7
15502.0,6.877775861794718e-6,9.90734688099739e-5,2.7797101513384462e-9,5.367371314733715e-6,4.919454788338582e-7
15503.0,6.991884479174289e-6,9.96140758460453e-5,2.7718081411294665e-9,5.448602685239449e-6,5.019967385299027e-7
15504.0,6.951739464000319e-6,0.00010000519397735802,2.7639173313355278e-9,5.45719363602461e-6,5.028907926295518e-7
15505.0,7.387969985015104e-6,0.0001007727793257253,2.7562740400221083e-9,5.692025034953121e-6,5.325784087948024e-7
15506.0,7.338792761119954e-6,0.0001011189914381026,2.7486488657010317e-9,5.70171438244512e-6,5.335902660406987e-7
15507.0,7.288873217669106e-6,0.0001014367078850331,2.7410330612935475e-9,5.711157466185292e-6,5.345786530384991e-7
15508.0,7.400212638698434e-6,0.00010186578706491528,2.7335047671644427e-9,5.79675377387657e-6,5.453608410083326e-7
15509.0,7.514154074479464e-6,0.00010227808982428333,2.7260689006275525e-9,5.884881666003073e-6,5.565127283315828e-7
15510.0,7.6274110058422845e-6,0.00010266421057347281,2.7187255204921196e-9,5.974173673970089e-6,5.678602050168726e-7
15511.0,7.737018325757032e-6,0.00010302867281283499,2.7114730335165747e-9,6.063191410420764e-6,5.792167782646886e-7
15512.0,7.502939618622391e-6,0.00010309564745619936,2.704160143960971e-9,5.99434157993124e-6,5.699863252670791e-7
15513.0,7.27423583208284e-6,0.00010312950384680055,2.696780719039019e-9,5.923870797544852e-6,5.606126723076694e-7
15514.0,7.053929391694197e-6,0.00010313975309700285,2.6893358924461925e-9,5.853264772891617e-6,5.512886527359294e-7
15515.0,6.8443790268679445e-6,0.00010312894367159875,2.6818282766889654e-9,5.783968158341587e-6,5.421982636052007e-7
15516.0,6.790541064939692e-6,0.0001032172097222805,2.6743354168135356e-9,5.79119062417915e-6,5.429735707922789e-7
15517.0,7.045527521696362e-6,0.000103567853972968,2.667013175903916e-9,5.9551613182145744e-6,5.639815801076414e-7
15518.0,6.98527381931611e-6,0.00010361592098242463,2.659715586821374e-9,5.9628742968073275e-6,5.648101645868448e-7
15519.0,6.769652313195106e-6,0.00010349448628944561,2.6523612567406755e-9,5.890584016580497e-6,5.552958017927598e-7
15520.0,6.865784622486377e-6,0.00010363175329954987,2.6451004635614306e-9,5.977204458455397e-6,5.663618786841021e-7
15521.0,6.6524172997141074e-6,0.00010345895183902699,2.6377871886514983e-9,5.904269294384986e-6,5.567745486281201e-7
15522.0,6.305638490907594e-6,0.00010311646002128937,2.6303413389883577e-9,5.75424281863196e-6,5.373648592976111e-7
15523.0,6.395801514601593e-6,0.00010317251896022301,2.6229893287352673e-9,5.838083631824665e-6,5.480267113605988e-7
15524.0,6.482649782370553e-6,0.00010320637383092988,2.615738732665223e-9,5.9215572465003105e-6,5.586841408303483e-7
15525.0,6.721901682818512e-6,0.0001033596136263771,2.6086650531545694e-9,6.088508897431066e-6,5.802448492548608e-7
15526.0,6.807319096655963e-6,0.00010334874257660527,2.601694544081897e-9,6.175271630228351e-6,5.914520806333986e-7
15527.0,6.894306091680468e-6,0.00010331368968267813,2.594825196788838e-9,6.264563172978694e-6,6.03036150826685e-7
15528.0,6.822178605365006e-6,0.00010310638241661702,2.5879841966618805e-9,6.271342279382354e-6,6.037766327721016e-7
15529.0,6.598134971794388e-6,0.00010273141481889098,2.581096193305012e-9,6.194973887284842e-6,5.935994655785818e-7
15530.0,6.680320334431388e-6,0.00010262472032444987,2.5743053638647396e-9,6.283770790116977e-6,6.051462952306851e-7
15531.0,6.608467382655111e-6,0.00010234444628615783,2.567545703702102e-9,6.289803072069938e-6,6.058110041308876e-7
15532.0,6.536812153903329e-6,0.00010204215223847378,2.560815145182432e-9,6.29559077324749e-6,6.064508069788197e-7
15533.0,6.1805760428793065e-6,0.00010141914531566294,2.5539721563680887e-9,6.13701901453261e-6,5.855365169128649e-7
15534.0,5.718101588170058e-6,0.00010062459045236235,2.546939399997139e-9,5.900218432449461e-6,5.547462737393971e-7
15535.0,5.662356423010748e-6,0.00010024252882198848,2.5399292447902967e-9,5.9034004615546626e-6,5.551219621796389e-7
15536.0,5.731534280836148e-6,9.99764582201185e-5,2.533018549195952e-9,5.985197598080231e-6,5.656544548357708e-7
15537.0,5.8019586413261855e-6,9.969290294084902e-5,2.5262149843194267e-9,6.069413546285844e-6,5.765431623942376e-7
15538.0,5.871061015959706e-6,9.938222316407426e-5,2.519518600132788e-9,6.1546342525377e-6,5.876068494168805e-7
15539.0,5.806434893514722e-6,9.890230422294112e-5,2.5128587214286443e-9,6.1581860277740196e-6,5.880166461841305e-7
15540.0,5.614297460226872e-6,9.825114714264452e-5,2.506162470053295e-9,6.079609584174699e-6,5.777211587516653e-7
15541.0,5.552810874998057e-6,9.771889376123802e-5,2.4994987955867945e-9,6.082424639377254e-6,5.78055929300066e-7
15542.0,5.491642968355193e-6,9.717162968808182e-5,2.4928717977226453e-9,6.08506396064797e-6,5.783723088590756e-7
15543.0,5.430391221025126e-6,9.659534125016083e-5,2.4862823069440478e-9,6.087530180512869e-6,5.786705027498969e-7
15544.0,5.154828255643808e-6,9.366216724959946e-5,2.4795908750320685e-9,5.929504411549501e-6,5.581756285604136e-7
15545.0,5.118062429383168e-6,9.299413976206417e-5,2.472933574573212e-9,5.931101947248107e-6,5.583860194280195e-7
15546.0,5.08110744475098e-6,9.232267530589401e-5,2.4663170979317384e-9,5.932623952237643e-6,5.58587271950068e-7
15547.0,5.044160863999043e-6,9.165136354649642e-5,2.4597418683084904e-9,5.934072408760508e-6,5.587795572814678e-7
15548.0,4.928981523423643e-6,8.766550766281652e-5,2.453138528763541e-9,5.85568689141802e-6,5.486928695834113e-7
15549.0,4.920229751938892e-6,8.750985106590828e-5,2.446575670793709e-9,5.8568645637532165e-6,5.488545804316283e-7
15550.0,5.084595933425335e-6,9.176692916603906e-5,2.440194793615347e-9,6.017033404088535e-6,5.695339564535113e-7
15551.0,5.136334577183789e-6,9.116064191096064e-5,2.433932382025702e-9,6.10004553321038e-6,5.803126024138997e-7
15552.0,4.962374538659012e-6,9.023184445654387e-5,2.4276479131818263e-9,6.0203779516226244e-6,5.699405246598124e-7
15553.0,4.8127681417105245e-6,8.7447005461123e-5,2.4213385685956143e-9,5.942468812207714e-6,5.598565676346026e-7
15554.0,4.770434804435952e-6,8.667781744565352e-5,2.415073367375521e-9,5.943420874527231e-6,5.599870777052242e-7
15555.0,4.582225079881351e-6,7.979955281654215e-5,2.4087198884161105e-9,5.786715938838416e-6,5.398527080966371e-7
15556.0,4.589853835734082e-6,7.993240777128178e-5,2.4024108402955704e-9,5.787267220534028e-6,5.399404936873205e-7
15557.0,4.587901877270347e-6,7.989841437073792e-5,2.396147014349079e-9,5.787920420585137e-6,5.400350399996892e-7
15558.0,4.505066259154935e-6,7.678489194876497e-5,2.3898650781523607e-9,5.710253183808141e-6,5.301260005739394e-7
15559.0,4.440337950888434e-6,7.409228022809098e-5,2.383564936425494e-9,5.634623042014813e-6,5.205225519683128e-7
15560.0,4.3155924767710906e-6,6.897432976743692e-5,2.3771787839818198e-9,5.483504752215883e-6,5.014595623398507e-7
15561.0,4.362818527351149e-6,6.972912420269827e-5,2.3708419448945745e-9,5.483959427691004e-6,5.01524789628331e-7
15562.0,4.540502820718289e-6,7.576364931903124e-5,2.364695576596239e-9,5.636431505921753e-6,5.207614640868781e-7
15563.0,4.518281936742427e-6,7.539286763964893e-5,2.358609951278611e-9,5.637659753306659e-6,5.208915437903203e-7
15564.0,4.561879436474778e-6,7.775322258605697e-5,2.352646285745405e-9,5.715237802477018e-6,5.307218752014788e-7
15565.0,4.598044513110919e-6,7.781906426794313e-5,2.346808172379447e-9,5.795170550011909e-6,5.408894636781636e-7
