Time,cPOMh,cPOMo,cMOM,cDOM,cQOM,cMBA,cMBD,cEM,nPOMh,nPOMo,nMOM,nDOM,nQOM,nMBA,nMBD,nEM
3.141472389551203e-5,1.9184684109421572e-5,0.11514692853381846,1.0061847113658902,1.301853559587874e-5,1.148344569588732e-5,0.0,0.01483171293604428,0.00016850956114326592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.165368674784897e-5,1.9800357079505226e-5,0.11513584173374372,1.0061026762684766,1.2975986190011199e-5,1.086239173462784e-5,0.0,0.014813482138255722,0.0001685134424556982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.188609566040612e-5,2.0488154050687765e-5,0.11512475661309271,1.006020323572435,1.293355967541e-5,1.027492595177846e-5,0.0,0.014795320767397856,0.0001685168349528577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.211229105670621e-5,2.1170541191151845e-5,0.11511367314765038,1.0059376542383462,1.2891252875022523e-5,9.719231813190318e-6,0.0,0.014777227333452821,0.0001685197415883439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2332551938439866e-5,2.1869575528318417e-5,0.11510259131348566,1.0058546692323076,1.2849063017715292e-5,9.193591027503251e-6,0.0,0.014759202012819167,0.00016852216531187681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2547157249432915e-5,2.258530220359199e-5,0.11509151108669534,1.0057713695258237,1.2806987425216537e-5,8.696378232925804e-6,0.0,0.014741244595981693,0.00016852410905533746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.287995846996572e-5,2.232429333029228e-5,0.11508043244275432,1.0056877560956856,1.2765023340421544e-5,8.226055971367717e-6,0.0,0.01472334934750859,0.00016852557579207108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.307731201063646e-5,2.251392911300773e-5,0.11506935535860967,1.0056038299238343,1.2723169059078062e-5,7.781169934384082e-6,0.0,0.01470552164450409,0.00016852656848592658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.273244715338852e-5,2.2419751875140635e-5,0.11506419198463519,1.0055608713756168,1.1053416380897547e-5,7.367605575413545e-6,0.0,0.014689156307408878,0.00016851831576129644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.23375768771017e-5,2.2548974539709237e-5,0.11505902931763133,1.0055176655461506,1.1020110492656745e-5,6.976021905780604e-6,0.0,0.01467292519098945,0.00016850968923018083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1961636530564166e-5,2.2712808163364137e-5,0.11505386734671244,1.0054742130629535,1.0986890524677592e-5,6.605250665471363e-6,0.0,0.01465675081780445,0.00016850069121903853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.160380682210362e-5,2.289381684069018e-5,0.11504870606105401,1.0054305145571332,1.0953754647422556e-5,6.254185686767541e-6,0.0,0.014640632958332627,0.00016849132397101155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.127349644876931e-5,2.300242021558393e-5,0.1150436497187117,1.0053879329963156,1.0844959156061717e-5,5.927438815515575e-6,0.0,0.014624317843959173,0.00016847309777825775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.095837045446248e-5,2.316241046159817e-5,0.11503859427417805,1.0053451123483506,1.0811955397350065e-5,5.617762674686409e-6,0.0,0.014608063982782492,0.00016845455466713634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.065826887750922e-5,2.3262452340939725e-5,0.11503353971595821,1.0053020532606396,1.0779035042252279e-5,5.324265412321214e-6,0.0,0.014591867134852695,0.00016843569661966311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0372541459284808e-5,2.3444752939682375e-5,0.11502848603269131,1.0052587563834565,1.0746196798565146e-5,5.046101770830395e-6,0.0,0.014575727508227502,0.00016841652560561595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0100614155973426e-5,2.3659219061327483e-5,0.11502343321298557,1.005215222369885,1.0713439395696101e-5,4.782470652693574e-6,0.0,0.014559644794763425,0.00016839704358364497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9841915838472176e-5,2.3918639058981298e-5,0.11501838124551488,1.0051714518757644,1.0680761689464678e-5,4.53261281333837e-6,0.0,0.014543618890397795,0.00016837725250479002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9595871990565346e-5,2.4150425604740613e-5,0.11501333011893486,1.0051274455596328,1.064816258148159e-5,4.295808674553623e-6,0.0,0.014527649272807102,0.00016835715431445957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9370233098892085e-5,2.4330730663423224e-5,0.11500838413042659,1.0050845808400912,1.0540340281435398e-5,4.075283547405901e-6,0.0,0.014511478975906912,0.0001683282683593102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9154939134623525e-5,2.4394081636490845e-5,0.1150034391878991,1.0050414871988962,1.0507874833642929e-5,3.866079066820394e-6,0.0,0.014495369390075296,0.0001682991261368111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8950022690185094e-5,2.449610816130495e-5,0.11499849527954396,1.0049981653065514,1.0475489550127572e-5,3.667614087962297e-6,0.0,0.014479317049082896,0.00016826972934515637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8762686665164684e-5,2.4610547653590608e-5,0.11499365491338995,1.0049559748776917,1.0368616138796448e-5,3.4826299888480946e-6,0.0,0.0144630634042801,0.00016823173266175271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8583802513332257e-5,2.457684539096987e-5,0.11498881577336592,1.0049135629371095,1.0336379336457264e-5,3.306975965391907e-6,0.0,0.014446871190854884,0.00016819353040693847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8413479348106117e-5,2.4586954132943486e-5,0.11498397784715361,1.0048709301647205,1.0304224662570341e-5,3.1401814349209487e-6,0.0,0.014430736928705726,0.0001681551240360214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8251361348786696e-5,2.4544216390978762e-5,0.11497914112237195,1.0048280772419358,1.0272151441147074e-5,2.9817995496237605e-6,0.0,0.01441466016661434,0.00016811651499249144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.809712813471088e-5,2.460704896795923e-5,0.11497430558677778,1.004785004851612,1.0240159122411653e-5,2.831405999430821e-6,0.0,0.014398641141056254,0.0001680777047127625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
