Time,T_air,D_air,Wind,Rain,Ca,SWC,P_soil,H_sun,A_net,E_crit,LAI_sl,PAR_sl,RAD_sl,E_sl,P_sl,An_sl,Ag_sl,C_sl,G_sl,T_sl,LAI_sh,PAR_sh,RAD_sh,E_sh,P_sh,An_sh,Ag_sh,C_sh,G_sh,T_sh
222.58333333333334,23.38266004,1.885083374,1.916237614,0.0,40.0,0.40663993437822654,-0.03511828979114869,58.80013710848948,8.861529231577581,24.512815510333304,1.4151203384970117,507.15649112034504,123.98268124016968,3.361288142579694,-0.3524882789555053,15.015572669385074,15.924764097317151,31.106030980728228,0.27370509565368695,295.7882440923397,1.584879661502988,60.78566340200232,19.08553672635916,0.6492999999999929,-0.14372830724844382,3.366656501255127,4.269195771344507,28.61403031956051,0.0479363960472459,295.6272016466057
222.625,21.3507933,1.37967858,1.506339698,0.0,40.0,0.4063798276521548,-0.03537312007222072,46.26507965386387,8.225282401051533,24.509671190590282,1.2644171074151542,523.6361195813581,127.18849011748158,2.605988142579691,-0.294578728403833,15.278311145675971,16.108007992121696,32.35906935186719,0.3241646753517211,293.9046671768399,1.7355828925848455,52.65443998014736,16.50779541119706,0.5400999999999929,-0.13555342020884065,3.086968211683015,3.9021093350367133,30.177811450572946,0.05095191198577054,293.56472306100073
222.66666666666666,19.68938122,0.964662534,2.386254386,0.0,40.0,0.40617578808049903,-0.035574466974252185,33.32946827989279,6.831794787968196,24.506202078463765,1.0277835889703797,544.98671489097,131.03548540926872,1.8934881425796908,-0.23998764047975077,15.38202352744946,16.15069460905388,33.897151516087774,0.4086179856576581,292.4772574974618,1.9722164110296205,40.41426451838353,12.460959571710891,0.41149999999999287,-0.1259090433584281,2.376003460385658,3.1253892796121554,32.24700926190038,0.04968375353588269,292.0224352883178
222.70833333333334,22.06628633,1.134449435,4.506895104,0.0,40.0,0.40602629805607215,-0.03572279706042848,20.357095383740514,4.602397665371497,24.503461063180392,0.6868387586532329,593.463365179589,140.79719943361079,1.8860881425796905,-0.23961935959972475,16.354394517210476,17.228400003391133,34.80186834530309,0.5100629640140883,294.9454994589037,2.313161241346767,25.99841451213698,7.4429360267595515,0.3535999999999929,-0.1216534377494724,1.1129189445909824,1.968135304807742,34.05174585152425,0.03033266817345467,294.50238937480856
222.75,19.51689285,0.84887841,3.314228836,0.0,40.0,0.4058810430636677,-0.0358675872407554,7.557779221698112,1.7301685101510191,24.50144178970031,0.2632225900586196,857.5130745871652,201.64767256621525,0.6191881425796899,-0.14224587386257806,15.956819668770024,16.74511571253787,35.18499284615118,0.5372618403345826,292.9374799865339,2.7367774099413804,13.758448864629587,3.365335521419378,0.2318999999999929,-0.112433700122571,0.3618526389993477,1.1062047915708573,37.45996543130834,0.02309557143735691,291.90318089921817
222.79166666666666,20.59484801,0.946402401,2.95876442,0.0,40.0,0.40582584573537195,-0.03592277977932371,-4.867085792418109,-0.7986425945074286,24.50144178970031,0.0,0.0,0.0,0.0,-0.09472758724075539,-0.7986425945074286,0.0,40.0,0.0,293.17941621127045,3.0,0.0,0.0,0.0,-0.09472758724075539,-0.7986425945074286,0.0,40.0,0.0,293.17941621127045
222.83333333333334,18.19394033,0.835603501,2.454674898,0.0,40.0,0.40582584573537195,-0.03592277977932371,-16.648680675135097,-0.6879399545560017,24.50144178970031,0.0,0.0,0.0,0.0,-0.09472758724075539,-0.6879399545560017,0.0,40.0,0.0,290.54532979984975,3.0,0.0,0.0,0.0,-0.09472758724075539,-0.6879399545560017,0.0,40.0,0.0,290.54532979984975
222.875,15.89694761,0.524937884,1.577241031,0.0,40.0,0.40582584573537195,-0.03592277977932371,-27.368391979849264,-0.5948557887644442,24.50144178970031,0.0,0.0,0.0,0.0,-0.09472758724075539,-0.5948557887644442,0.0,40.0,0.0,288.17319904593876,3.0,0.0,0.0,0.0,-0.09472758724075539,-0.5948557887644442,0.0,40.0,0.0,288.17319904593876
222.91666666666666,14.03522854,0.315556331,0.968171149,0.0,40.0,0.40582584573537195,-0.03592277977932371,-36.34644210538585,-0.5249092518750086,24.50144178970031,0.0,0.0,0.0,0.0,-0.09472758724075539,-0.5249092518750086,0.0,40.0,0.0,286.2256044613529,3.0,0.0,0.0,0.0,-0.09472758724075539,-0.5249092518750086,0.0,40.0,0.0,286.2256044613529
222.95833333333334,12.24474712,0.07836699,0.973143628,0.0,40.0,0.40582584573537195,-0.03592277977932371,-42.55616046516195,-0.46684624062101404,24.50144178970031,0.0,0.0,0.0,0.0,-0.09472758724075539,-0.46684624062101404,0.0,40.0,0.0,284.4554937695315,3.0,0.0,0.0,0.0,-0.09472758724075539,-0.46684624062101404,0.0,40.0,0.0,284.4554937695315
